Date;Open;High;Low;Close;Volume;Return;MA7;MA21;MA50;MA200;Volatility30;Momentum7;Cluster_3;Regime;Direction_Pred;Prob_Up;Signal;Pred_1d;Pred_30d;Pred_365d;Pred_7d;Pred_90d;PC1;PC2
2019-10-22;8243.4;8296.65;8074.46;8078.2;16803377857;-0.020078;8093.886858;8231.992001;9110.648262;8883.941541;0.02824;-0.014647;0.0;Bull;1;0.561;📈 Up;8054.67;8005.94;618.6;8002.79;10150.11;-0.599;-0.792
2019-10-23;8076.23;8093.0;7469.32;7514.67;21942878958;-0.069759;8017.764718;8190.164853;9048.470898;8896.215813;0.030119;-0.06517;0.0;Bull;1;0.592;📈 Up;7456.06;7797.72;618.6;7440.54;10543.55;-0.404;-2.176
2019-10-24;7509.73;7532.87;7446.99;7493.49;16268708849;-0.002819;7930.561523;8153.66469;8986.450811;8907.688772;0.022531;-0.074996;0.0;Bull;1;0.55;📈 Up;7455.13;7167.19;618.6;7283.64;9069.28;-0.452;-0.866
2019-10-25;7490.7;8691.54;7479.98;8660.7;28705065488;0.155763;8028.774763;8175.319964;8948.15415;8924.543418;0.036802;0.096896;0.0;Bull;0;0.42;📉 Down;8852.5;10219.39;615.13;8978.06;14417.98;-1.452;3.548
2019-10-26;8667.58;10021.74;8662.62;9244.97;44496255609;0.067462;8208.262207;8227.390067;8925.987549;8944.743489;0.037715;0.162433;0.0;Bull;0;0.481;📉 Down;9488.01;11790.68;615.13;9926.7;18602.4;-1.317;2.243
2019-10-27;9241.71;9749.53;9112.54;9551.71;32593129501;0.033179;8398.21031;8301.845261;8906.676748;8965.879304;0.038014;0.166381;0.0;Bull;1;0.513;📈 Up;9627.94;11099.0;615.13;9980.56;16045.79;-1.228;1.578
2019-10-28;9565.1;9805.12;9256.15;9256.15;30948255332;-0.030944;8542.842843;8349.965518;8882.974189;8986.837607;0.038582;0.132805;0.0;Bull;1;0.561;📈 Up;9323.06;10665.64;616.33;9678.48;15172.75;-0.995;0.033
2019-10-29;9248.44;9516.18;9232.65;9427.69;28426779937;0.018532;8735.626325;8407.056199;8864.828447;9008.52835;0.038439;0.171416;0.0;Bull;1;0.527;📈 Up;9483.21;10628.94;615.13;9811.69;14833.25;-1.201;1.317
2019-10-30;9422.46;9426.87;9085.37;9205.73;27706531577;-0.023544;8977.205566;8436.103167;8846.623467;9029.07405;0.03865;0.217631;0.0;Bull;1;0.563;📈 Up;9216.56;10285.42;616.33;9600.36;14635.54;-1.158;0.807
2019-10-31;9202.46;9383.16;9028.72;9199.58;26583653947;-0.000667;9220.933594;8465.298944;8827.047725;9049.233364;0.038658;0.219783;0.0;Bull;1;0.546;📈 Up;9240.21;10266.47;616.33;9584.03;14373.85;-1.228;1.285
2019-11-01;9193.99;9275.66;9132.05;9261.1;24324691031;0.006687;9306.705636;8510.029785;8804.067275;9070.203345;0.03866;0.070707;0.0;Bull;1;0.533;📈 Up;9275.92;10163.78;615.13;9419.57;13052.63;-1.004;0.336
