Date,Open,High,Low,Close,Volume,Return,MA7,MA21,MA50,MA200,Volatility30,Momentum7
2020-10-07,10603.36,10680.51,10562.51,10668.97,37799458436,0.0061,10640.15,10712.94,10905.19,9526.25,0.0179,-0.0103
2020-10-08,10669.37,10945.74,10562.61,10915.69,63314794397,0.0231,10682.47,10711.35,10888.34,9551.68,0.0177,0.0281
2020-10-09,10927.91,11102.67,10846.85,11064.46,22799117613,0.0136,10752.25,10717.06,10872.06,9574.92,0.0178,0.0458
2020-10-10,11059.14,11442.21,11056.94,11296.36,22877978588,0.021,10858.97,10726.68,10866.13,9597.73,0.018,0.0693
2020-10-11,11296.08,11428.81,11288.63,11384.18,19968627060,0.0078,10961.06,10747.91,10860.18,9621.24,0.018,0.0657
2020-10-12,11392.64,11698.47,11240.69,11555.36,26163972642,0.015,11069.92,10799.97,10857.99,9645.44,0.0182,0.0691
2020-10-13,11548.72,11548.98,11321.22,11425.9,24241420251,-0.0112,11187.27,10842.23,10851.02,9670.22,0.0182,0.0754
2020-10-14,11429.05,11539.98,11307.83,11429.51,24103426719,0.0003,11295.92,10898.57,10852.29,9696.16,0.0172,0.0696
2020-10-15,11426.6,11569.91,11303.6,11495.35,24487233058,0.0058,11378.73,10933.59,10852.43,9724.02,0.0171,0.0523
2020-10-16,11502.83,11540.06,11223.01,11322.12,25635480772,-0.0151,11415.54,10963.56,10852.4,9748.48,0.0172,0.0236
2020-10-17,11322.12,11386.26,11285.35,11358.1,19130430174,0.0032,11424.36,10992.48,10848.71,9773.08,0.0172,0.0058
2020-10-18,11355.98,11483.36,11347.58,11483.36,18283314340,0.011,11438.53,11026.2,10848.24,9797.46,0.0173,0.009
2020-10-19,11495.04,11799.09,11408.29,11742.04,23860769928,0.0225,11465.2,11075.36,10848.85,9822.21,0.0176,0.0165
2020-10-20,11745.97,11999.92,11681.48,11916.33,30915821592,0.0148,11535.26,11126.4,10853.56,9848.12,0.0174,0.0426
2020-10-21,11913.08,13184.57,11900.93,12823.69,43414712626,0.0761,11734.43,11223.5,10870.63,9877.9,0.0199,0.1184
2020-10-22,12801.64,13161.59,12717.09,12965.89,34729759598,0.0111,11944.51,11335.24,10901.66,9908.78,0.0199,0.1237
2020-10-23,12971.55,13015.96,12752.65,12931.54,28974975003,-0.0026,12174.42,11447.41,10955.39,9937.07,0.0189,0.1362
2020-10-24,12931.57,13145.07,12885.75,13108.06,24542317940,0.0137,12424.42,11569.25,11007.31,9966.73,0.0172,0.1466
2020-10-25,13108.06,13329.18,12910.06,13031.17,24406920575,-0.0059,12645.53,11681.71,11064.55,9995.22,0.0172,0.1297
2020-10-26,13031.2,13225.3,12822.38,13075.25,29461458313,0.0034,12835.99,11790.37,11120.44,10024.08,0.0172,0.1106
2020-10-27,13075.24,13759.67,13060.84,13654.22,33749878156,0.0443,13084.26,11935.6,11186.14,10058.03,0.0185,0.14
2020-10-28,13654.21,13837.7,12932.25,13271.29,35867318895,-0.028,13148.2,12059.52,11248.93,10090.09,0.0195,0.0358
2020-10-29,13271.3,13612.05,12980.06,13437.88,56499499598,0.0126,13215.63,12179.62,11312.84,10122.42,0.0195,0.0373
2020-10-30,13437.87,13651.52,13136.2,13546.52,30581485201,0.0081,13303.48,12297.82,11376.51,10155.93,0.0194,0.048
2020-10-31,13546.53,14028.21,13457.53,13781.0,30306464719,0.0173,13399.62,12416.13,11444.11,10190.62,0.0189,0.0517
2020-11-01,13781.0,13862.03,13628.38,13737.11,24453857900,-0.0032,13500.47,12528.18,11510.01,10226.1,0.0189,0.0544
2020-11-02,13737.03,13808.32,13243.16,13550.49,30771455468,-0.0136,13568.36,12623.18,11574.55,10258.27,0.0192,0.0374
2020-11-03,13550.45,13984.98,13325.44,13950.3,29869951617,0.0295,13610.65,12743.39,11639.93,10292.54,0.0196,0.0226
2020-11-04,13950.49,14218.77,13580.47,14133.71,35116364962,0.0131,13733.86,12872.16,11706.67,10326.92,0.0196,0.0638
2020-11-05,14133.73,15706.4,14102.09,15579.85,40856321439,0.1023,14039.85,13066.66,11798.77,10368.87,0.0253,0.1536
2020-11-06,15579.73,15903.44,15226.84,15565.88,39837841971,-0.0009,14328.33,13268.75,11891.11,10412.29,0.0254,0.1446
2020-11-07,15565.88,15737.1,14423.2,14833.75,35024953706,-0.047,14478.73,13434.25,11968.89,10452.06,0.0276,0.0803
2020-11-08,14833.75,15637.32,14744.11,15479.57,26632075029,0.0435,14727.65,13624.55,12056.59,10493.87,0.0283,0.127
2020-11-09,15479.6,15785.14,14865.53,15332.32,34149115566,-0.0095,14982.2,13795.52,12144.48,10533.38,0.0285,0.1311
